Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
rose-tasting-vertical-pack,Rosé Tasting Vertical Pack,"<ul>
<li>PRRO</li>
<li>ARRO</li>
<li>GORO</li>
</ul>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Tasting Vertical,"ABV-12, Tasting Vertical Packs, VARIANT-41492538392620-TYPE-BOX, VARIANT-41492538392620-UNIT-ML, VARIANT-41492538392620-VOLUME-2250.0",false,Title,Default Title,,,,,TVP_ROSÉ,5443.10844,shopify,deny,manual,175.00,208.00,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,87.65,true,false,,,active
pinot-meunier-comparison-tasting-vertical-pack,Pinot Meunier Comparison Tasting Vertical Pack,"<ul>
<li>LVBN</li>
<li>DDAM</li>
<li>PLAM18</li>
</ul>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Tasting Vertical,"ABV-12, Tasting Vertical Packs, VARIANT-41491841187884-TYPE-BOX, VARIANT-41491841187884-UNIT-ML, VARIANT-41491841187884-VOLUME-2250.0",false,Title,Default Title,,,,,TVP_PM,5443.10844,shopify,deny,manual,200.00,230.00,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,117.29,true,false,,,active
special-club-millesime-2018-nature,Special Club Millésime 2018 Nature,"<meta charset=""utf-8"">
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">SEE:<span data-mce-fragment=""1""> <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Light gold with stunning clarity. Fine delicate bubbles.</span></span></b></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">SMELL:<span data-mce-fragment=""1""> <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">Toasted almond and ripe notes of  apple and pear</span></span></b></p>
<p data-mce-fragment=""1""><b data-mce-fragment=""1"">TASTE:<span data-mce-fragment=""1""> <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">A supple mouthfeel with balanced notes of lemon curd, orchard fruit, vanilla bean, and citrus rind. Juicy at first with zesty minerality in the mid-palate and a long, clean finish.</span></span></b></p>
<b data-mce-fragment=""1"">PAIR:<span data-mce-fragment=""1""> <span style=""font-weight: 400;"" data-mce-fragment=""1"" data-mce-style=""font-weight: 400;"">This cuvée expertly complements a selection of firm cheeses and smoked meats, but it can also round out a lobster dinner featuring baked potatoes and stuffed mushrooms. Mmm.</span></span></b>",Hervieux-Dumez,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Standard,"ABV-12, Bottle Size_Standard, Dosage_Brut Nature (0-3 g/l), Grower_Hervieux-Dumez, Inventory, REGION-MONTAGNE DE REIMS, Single Bottles, VINTAGE-100% 2016, VINTAGE-2016",false,Title,Default Title,,,,,HD18N,1814.36948,shopify,deny,manual,119.00,,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,47.49,true,true,,,draft
mm-intro-welcome-to-the-club,MM - INTRO: Welcome to the Club,"<ul>
<li>JBBN</li>
<li>DDBR<br>
</li>
<li>DDRO</li>
<li>ALEB</li>
<li>MGRON</li>
<li>GORE</li>
<li>HDBB2</li>
<li>HDBBN2</li>
<li>PLBB17</li>
<li>DDBA</li>
<li>EDES</li>
<li>ARRO</li>
</ul>
<p>+ Stopper</p>
<p>+ Welcome booklet</p>
<p>+ Intro Experience Card</p>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Club package,"ABV-12, MM Intro, VARIANT-41438612815916-UNIT-ML, VARIANT-41438612815916-VOLUME-9000.0, Welcome to the club",false,Title,Default Title,,,,,MM-Intro,21772.43376,shopify,deny,manual,749.00,,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,416.64,true,false,,,active
ff-intro-welcome-to-the-club,FF - INTRO: Welcome to the Club,"<meta charset=""utf-8"">
<ul>
<li>JBEB</li>
<li>DDBR<br>
</li>
<li>DDRO<br>
</li>
<li>ALEB</li>
<li>MGRON</li>
<li>GORE</li>
</ul>
<p>+ Stopper</p>
<p>+ Welcome booklet</p>
<p>+ Intro Experience Card</p>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Club package,"ABV-12, FF Intro, VARIANT-41438606295084-UNIT-ML, VARIANT-41438606295084-VOLUME-3000.0, Welcome to the club",false,Title,Default Title,,,,,FF-Intro,10886.21688,shopify,deny,manual,389.00,,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,160.05,true,false,,,active
wk-club-intro-welcome-to-the-club,WK - CLUB INTRO: Welcome to the Club,"<div>**switch out products  per allocation month</div>
<ul>
<li>JBEB</li>
<li>DDBR<br>
</li>
<li>DDRO</li>
<li>ALEB</li>
</ul>
<p>+ Stopper</p>
<p>+ Welcome booklet</p>
<p>+ Intro Experience Card</p>",Fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Club package,"ABV-12, VARIANT-41438596726828-UNIT-ML, VARIANT-41438596726828-VOLUME-3000.0, Welcome to the club",false,Title,Default Title,,,,,WK-Intro,7257.47792,shopify,deny,manual,264.00,,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,111.46,true,true,,,active
summer-rose-party-pack-12-bottles,Summer Rosé Party Pack (12 bottles),"<p data-mce-fragment=""1"">Stock up for Summer! This irresistible special includes:</p>
<ul>
<li>Twelve bottles of <u data-mce-fragment=""1""><a data-mce-fragment=""1"" data-saferedirecturl=""https://www.google.com/url?q=https://fatcork.com/collections/all/products/gimonnet-oger-grande-reserve-rose-premier-cru?_pos%3D2%26_fid%3D740e8e219%26_ss%3Dc&amp;source=gmail&amp;ust=1649879588406000&amp;usg=AOvVaw3CKrYOaAcnC3JrdAXXiN1U"" href=""https://fatcork.com/collections/all/products/gimonnet-oger-grande-reserve-rose-premier-cru?_pos=2&amp;_fid=740e8e219&amp;_ss=c"" target=""_blank"" data-mce-href=""https://fatcork.com/collections/all/products/gimonnet-oger-grande-reserve-rose-premier-cru?_pos=2&amp;_fid=740e8e219&amp;_ss=c"">Gimonnet-Oger Grande Réserve Rosé Premier Cru</a></u> - <em>Delightfully rosy, tart raspberry and stone fruit. Our go-to for happy hour, friends dropping by, and dishes with Summer veggies. </em>
</li>
</ul>
<p data-mce-fragment=""1"">Be prepared to turn any moment into a celebration!</p>",Bundle,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Bundle,"ABV-12, Gift, Gift Set, Gift Sets, Seasonal Selection, Seasonal Selections, VARIANT-41429095252012-UNIT-ML, VARIANT-41429095252012-VOLUME-9000.0, VINTAGE-80% 2012 20% VIN DE RÉSERVE",true,Title,Default Title,,,,,SPROPK12,10886.21688,shopify,deny,manual,649.00,408.00,true,true,"",https://cdn.shopify.com/s/files/1/0347/9578/2188/files/GORO_12btl.png?v=1688660755,1,,false,,,,,,,,,,,,,,,lb,,358.20,true,false,,,active
summer-rose-party-pack-12-bottles,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/ScreenShot2023-06-30at1.25.46PM_b2dde9f2-3b58-4876-bc28-4b733e21ea91.png?v=1688660755,2,,,,,,,,,,,,,,,,,,,,,,,,
summer-rose-party-pack-12-bottles,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0347/9578/2188/files/ScreenShot2023-06-30at1.28.02PM_9beba11c-f6e7-4b78-8d73-2ae9fe3e751c.png?v=1688660755,3,,,,,,,,,,,,,,,,,,,,,,,,
summer-sippers-tasting-vertical-pack,Summer Sippers Tasting Vertical Pack,"<ul>
<li>PTBB<br>
</li>
<li>HDRO</li>
<li>MGEBN</li>
</ul>",fatcork,"Food, Beverages & Tobacco > Beverages > Alcoholic Beverages > Wine",Tasting Vertical,"ABV-12, Tasting Vertical Packs, VARIANT-41428549435436-TYPE-BOX, VARIANT-41428549435436-UNIT-ML, VARIANT-41428549435436-VOLUME-2250.0",false,Title,Default Title,,,,,TVP_SS,5443.10844,shopify,deny,manual,175.00,211.00,true,true,"",,,,false,,,,,,,,,,,,,,,lb,,88.21,true,false,,,draft
